0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
39304,53,17,2,0,0.0004680156707763672,0.0004680156707763672,0.0,0.0,0.0004680156707763672,0.0004680156707763672,0.0004680156707763672,0.0004680156707763672,0,0,79.0,0,0.0,0,79,0,79,0,158,0,0,0,0,0,0,0,0
54422,443,6,16,0,0.013783009847005208,0.013783009847005208,0.0226308386917628,0.0226308386917628,7.295608520507812e-05,7.295608520507812e-05,0.0894320011138916,0.0894320011138916,0,0,285.375,0,562.6510769340089,0,54,0,1995,0,4566,0,0,0,0,0,0,0,0
54438,443,6,16,0,0.01917293866475423,0.01917293866475423,0.03033934686308171,0.03033934686308171,7.295608520507812e-05,7.295608520507812e-05,0.12247204780578613,0.12247204780578613,0,0,224.9375,0,472.07685665974986,0,54,0,1995,0,3599,0,0,0,0,0,0,0,0
54440,443,6,17,0,0.009982302784919739,0.009982302784919739,0.014908180422101945,0.014908180422101945,8.893013000488281e-05,8.893013000488281e-05,0.04855084419250488,0.04855084419250488,0,0,187.2941176470588,0,452.99094455380765,0,54,0,1995,0,3184,0,0,0,0,0,0,0,0
54456,443,6,19,0,9.476746492915684,9.476746492915684,21.180578855707036,21.180578855707036,0.00013184547424316406,0.00013184547424316406,58.90048289299011,58.90048289299011,0,0,184.57894736842104,0,427.54123418122816,0,54,0,1995,0,3507,0,0,0,0,0,0,0,0
53,39304,17,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,120.0,0,6.0,0,114,0,126,0,240,0,0,0,0,0,0,0,0
32988,443,6,20,0,8.977414319389744,8.977414319389744,20.721854831846468,20.721854831846468,9.202957153320312e-05,9.202957153320312e-05,58.900720834732056,58.900720834732056,0,0,176.8,0,412.2489053957572,0,54,0,1970,0,3536,0,0,0,0,0,0,0,0
443,54456,6,17,0,10.660181000828743,10.660181000828743,22.18929611221041,22.18929611221041,0.0,0.0,58.8986611366272,58.8986611366272,0,0,346.47058823529414,0,758.0322915399456,0,66,0,2962,0,5890,0,0,0,0,0,0,0,0
443,54438,6,12,0,0.02436219562183727,0.02436219562183727,0.03889976520885495,0.03889976520885495,0.0,0.0,0.12304115295410156,0.12304115295410156,0,0,453.5833333333333,0,880.2694150403929,0,66,0,2962,0,5443,0,0,0,0,0,0,0,0
443,54440,6,14,0,0.010790238013634315,0.010790238013634315,0.019571858913847516,0.019571858913847516,0.0,0.0,0.06004595756530762,0.06004595756530762,0,0,398.2142857142857,0,584.8807178234146,0,66,0,1514,0,5575,0,0,0,0,0,0,0,0
